[2019-08-09 10:17:24] Warning: [] [0] QObject::connect: No such slot zchxMapMainWindow::slotChangeColorScheme(bool)
[2019-08-09 10:17:24] Warning: [] [0] QObject::connect:  (receiver name: 'zchxMapMainWindow')
[2019-08-09 10:17:24] Warning: [] [0] QObject::connect: No such slot zchxMapMainWindow::slotShowDisplayCategory(bool)
[2019-08-09 10:17:24] Warning: [] [0] QObject::connect:  (receiver name: 'zchxMapMainWindow')
[2019-08-09 10:17:54] Debug: [] [0] memory total: 45761872   app used: 37960
[2019-08-09 10:18:24] Debug: [] [0] memory total: 45761872   app used: 37912
[2019-08-09 10:18:54] Debug: [] [0] memory total: 45761872   app used: 37912
[2019-08-09 10:19:24] Debug: [] [0] memory total: 45761872   app used: 37912
[2019-08-09 10:19:57] Warning: [] [0] QObject::connect: No such slot zchxMapMainWindow::slotChangeColorScheme(bool)
[2019-08-09 10:19:57] Warning: [] [0] QObject::connect:  (receiver name: 'zchxMapMainWindow')
[2019-08-09 10:19:57] Warning: [] [0] QObject::connect: No such slot zchxMapMainWindow::slotShowDisplayCategory(bool)
[2019-08-09 10:19:57] Warning: [] [0] QObject::connect:  (receiver name: 'zchxMapMainWindow')
[2019-08-09 10:20:27] Debug: [] [0] memory total: 6571344   app used: 38132
[2019-08-09 10:20:57] Debug: [] [0] memory total: 6571344   app used: 38084
[2019-08-09 10:21:27] Debug: [] [0] memory total: 6571344   app used: 38084
[2019-08-09 10:21:57] Debug: [] [0] memory total: 6571344   app used: 38084
[2019-08-09 10:22:27] Debug: [] [0] memory total: 6571344   app used: 38076
[2019-08-09 10:22:57] Debug: [] [0] memory total: 6571344   app used: 37916
[2019-08-09 10:23:27] Debug: [] [0] memory total: 6571344   app used: 37916
[2019-08-09 10:23:57] Debug: [] [0] memory total: 6571344   app used: 37916
[2019-08-09 10:24:27] Debug: [] [0] memory total: 6571344   app used: 37916
[2019-08-09 10:24:57] Debug: [] [0] memory total: 6571344   app used: 37928
[2019-08-09 10:25:27] Debug: [] [0] memory total: 6571344   app used: 37940
[2019-08-09 10:25:57] Debug: [] [0] memory total: 6571344   app used: 37952
[2019-08-09 10:26:27] Debug: [] [0] memory total: 6571344   app used: 38072
[2019-08-09 10:26:57] Debug: [] [0] memory total: 6571344   app used: 38072
[2019-08-09 10:27:27] Debug: [] [0] memory total: 6571344   app used: 38072
[2019-08-09 10:27:57] Debug: [] [0] memory total: 6571344   app used: 38072
[2019-08-09 10:28:27] Debug: [] [0] memory total: 6571344   app used: 38072
[2019-08-09 10:28:57] Debug: [] [0] memory total: 6571344   app used: 38072
[2019-08-09 10:29:27] Debug: [] [0] memory total: 6571344   app used: 38072
[2019-08-09 10:29:57] Debug: [] [0] memory total: 6571344   app used: 38072
[2019-08-09 10:30:27] Debug: [] [0] memory total: 6571344   app used: 38076
[2019-08-09 10:30:57] Debug: [] [0] memory total: 6571344   app used: 38076
[2019-08-09 10:31:27] Debug: [] [0] memory total: 6571344   app used: 38076
[2019-08-09 10:31:57] Debug: [] [0] memory total: 6571344   app used: 38076
[2019-08-09 10:32:27] Debug: [] [0] memory total: 6571344   app used: 38076
[2019-08-09 10:32:57] Debug: [] [0] memory total: 6571344   app used: 38076
[2019-08-09 10:33:27] Debug: [] [0] memory total: 6571344   app used: 38076
[2019-08-09 10:33:57] Debug: [] [0] memory total: 6571344   app used: 38076
[2019-08-09 10:34:27] Debug: [] [0] memory total: 6571344   app used: 38076
[2019-08-09 10:34:57] Debug: [] [0] memory total: 6571344   app used: 38076
[2019-08-09 10:36:59] Debug: [] [0] memory total: 71386448   app used: 38052
[2019-08-09 10:37:29] Debug: [] [0] memory total: 71386448   app used: 38124
[2019-08-09 10:37:59] Debug: [] [0] memory total: 71386448   app used: 38124
[2019-08-09 10:38:07] Debug: [] [0] open settings windows now
[2019-08-09 10:39:35] Debug: [] [0] open settings windows now
[2019-08-09 10:41:38] Debug: [] [0] open settings windows now
[2019-08-09 10:41:38] Warning: [] [0] setGeometry: Unable to set geometry 715x2138+603+31 on QWidgetWindow/'zchxOptionsDlgWindow'. Resulting geometry:  715x1061+603+31 (frame: 8, 31, 8, 8, custom margin: 0, 0, 0, 0, minimum size: 317x139, maximum size: 16777215x16777215).
[2019-08-09 10:41:38] Warning: [] [0] setGeometry: Unable to set geometry 715x2138+603+31 on QWidgetWindow/'zchxOptionsDlgWindow'. Resulting geometry:  715x1061+603+31 (frame: 8, 31, 8, 8, custom margin: 0, 0, 0, 0, minimum size: 317x139, maximum size: 16777215x16777215).
[2019-08-09 10:42:06] Debug: [] [0] memory total: 6636880   app used: 38964
[2019-08-09 10:42:56] Debug: [] [0] open settings windows now
